Date,Average,Ask,Bid,Last,TotalVolume
2015-01-21,215.14,225.05,224.7,224.62,111781.03
2015-01-20,211.49,212.28,211.8,212.01,99020.56
2015-01-19,211.84,217.09,216.56,216.82,69433.31
2015-01-18,206.0,210.8,210.32,210.8,109747.93
2015-01-17,201.56,199.67,199.38,199.69,87919.04
2015-01-16,212.01,208.3,207.96,207.94,129530.68
2015-01-15,205.48,208.79,208.58,208.74,283041.91
2015-01-14,200.28,176.72,176.39,176.04,378295.79
2015-01-13,242.22,222.15,221.97,222.13,228863.06
2015-01-12,269.63,269.54,269.16,269.38,47534.74
2015-01-11,274.29,266.7,266.55,266.73,44343.21
2015-01-10,281.25,277.14,276.53,276.88,45280.81
2015-01-09,285.04,288.46,288.12,288.16,57577.43
2015-01-08,289.61,284.46,284.09,284.17,58163.81
2015-01-06,277.04,286.13,285.91,285.85,79993.07
2015-01-05,271.78,277.81,276.75,277.26,115265.0
2015-01-04,275.91,261.28,260.84,261.23,192471.43
2015-01-03,306.15,288.1,287.43,288.01,95976.22
2015-01-02,315.45,316.7,315.99,316.26,20418.12
2015-01-01,317.04,316.13,315.23,315.35,17517.9
